"","chi","xi","admissible"
"170",0.39,0.0198989898989899,TRUE
"171",0.41,0.0198989898989899,TRUE
"172",0.43,0.0198989898989899,TRUE
"173",0.45,0.0198989898989899,TRUE
"174",0.47,0.0198989898989899,TRUE
"175",0.49,0.0198989898989899,TRUE
"176",0.51,0.0198989898989899,TRUE
"177",0.53,0.0198989898989899,TRUE
"178",0.55,0.0198989898989899,TRUE
"179",0.57,0.0198989898989899,TRUE
"180",0.59,0.0198989898989899,TRUE
"181",0.61,0.0198989898989899,TRUE
"182",0.63,0.0198989898989899,TRUE
"183",0.65,0.0198989898989899,TRUE
"184",0.67,0.0198989898989899,TRUE
"185",0.69,0.0198989898989899,TRUE
"186",0.71,0.0198989898989899,TRUE
"187",0.73,0.0198989898989899,TRUE
"188",0.75,0.0198989898989899,TRUE
"189",0.77,0.0198989898989899,TRUE
"190",0.79,0.0198989898989899,TRUE
"191",0.81,0.0198989898989899,TRUE
"192",0.83,0.0198989898989899,TRUE
"193",0.85,0.0198989898989899,TRUE
"194",0.87,0.0198989898989899,TRUE
"195",0.89,0.0198989898989899,TRUE
"196",0.91,0.0198989898989899,TRUE
"197",0.93,0.0198989898989899,TRUE
"198",0.95,0.0198989898989899,TRUE
"199",0.97,0.0198989898989899,FALSE
"200",0.99,0.0198989898989899,FALSE
"201",-0.99,0.0297979797979798,FALSE
"202",-0.97,0.0297979797979798,FALSE
"203",-0.95,0.0297979797979798,TRUE
"204",-0.93,0.0297979797979798,TRUE
"205",-0.91,0.0297979797979798,TRUE
"206",-0.89,0.0297979797979798,TRUE
"207",-0.87,0.0297979797979798,TRUE
"208",-0.85,0.0297979797979798,TRUE
"209",-0.83,0.0297979797979798,TRUE
"210",-0.81,0.0297979797979798,TRUE
"211",-0.79,0.0297979797979798,TRUE
"212",-0.77,0.0297979797979798,TRUE
"213",-0.75,0.0297979797979798,TRUE
"214",-0.73,0.0297979797979798,TRUE
"215",-0.71,0.0297979797979798,TRUE
"216",-0.69,0.0297979797979798,TRUE
"217",-0.67,0.0297979797979798,TRUE
"218",-0.65,0.0297979797979798,TRUE
"219",-0.63,0.0297979797979798,TRUE
"220",-0.61,0.0297979797979798,TRUE
"221",-0.59,0.0297979797979798,TRUE
"222",-0.57,0.0297979797979798,TRUE
"223",-0.55,0.0297979797979798,TRUE
"224",-0.53,0.0297979797979798,TRUE
"225",-0.51,0.0297979797979798,TRUE
"226",-0.49,0.0297979797979798,TRUE
"227",-0.47,0.0297979797979798,TRUE
"228",-0.45,0.0297979797979798,TRUE
"229",-0.43,0.0297979797979798,TRUE
"230",-0.41,0.0297979797979798,TRUE
"231",-0.39,0.0297979797979798,TRUE
"232",-0.37,0.0297979797979798,TRUE
"233",-0.35,0.0297979797979798,TRUE
"234",-0.33,0.0297979797979798,TRUE
"235",-0.31,0.0297979797979798,TRUE
"236",-0.29,0.0297979797979798,TRUE
"237",-0.27,0.0297979797979798,TRUE
"238",-0.25,0.0297979797979798,TRUE
"239",-0.23,0.0297979797979798,TRUE
"240",-0.21,0.0297979797979798,TRUE
"241",-0.19,0.0297979797979798,TRUE
"242",-0.17,0.0297979797979798,TRUE
"243",-0.15,0.0297979797979798,TRUE
"244",-0.13,0.0297979797979798,TRUE
"245",-0.11,0.0297979797979798,TRUE
"246",-0.09,0.0297979797979798,TRUE
"247",-0.07,0.0297979797979798,TRUE
"248",-0.0499999999999999,0.0297979797979798,TRUE
"249",-0.03,0.0297979797979798,TRUE
"250",-0.01,0.0297979797979798,TRUE
"251",0.01,0.0297979797979798,TRUE
"252",0.03,0.0297979797979798,TRUE
"253",0.05,0.0297979797979798,TRUE
"254",0.0700000000000001,0.0297979797979798,TRUE
"255",0.0900000000000001,0.0297979797979798,TRUE
"256",0.11,0.0297979797979798,TRUE
"257",0.13,0.0297979797979798,TRUE
"258",0.15,0.0297979797979798,TRUE
"259",0.17,0.0297979797979798,TRUE
"260",0.19,0.0297979797979798,TRUE
"261",0.21,0.0297979797979798,TRUE
"262",0.23,0.0297979797979798,TRUE
"263",0.25,0.0297979797979798,TRUE
"264",0.27,0.0297979797979798,TRUE
"265",0.29,0.0297979797979798,TRUE
"266",0.31,0.0297979797979798,TRUE
"267",0.33,0.0297979797979798,TRUE
"268",0.35,0.0297979797979798,TRUE
"269",0.37,0.0297979797979798,TRUE
"270",0.39,0.0297979797979798,TRUE
"271",0.41,0.0297979797979798,TRUE
"272",0.43,0.0297979797979798,TRUE
"273",0.45,0.0297979797979798,TRUE
"274",0.47,0.0297979797979798,TRUE
"275",0.49,0.0297979797979798,TRUE
"276",0.51,0.0297979797979798,TRUE
"277",0.53,0.0297979797979798,TRUE
"278",0.55,0.0297979797979798,TRUE
"279",0.57,0.0297979797979798,TRUE
"280",0.59,0.0297979797979798,TRUE
"281",0.61,0.0297979797979798,TRUE
"282",0.63,0.0297979797979798,TRUE
"283",0.65,0.0297979797979798,TRUE
"284",0.67,0.0297979797979798,TRUE
"285",0.69,0.0297979797979798,TRUE
"286",0.71,0.0297979797979798,TRUE
"287",0.73,0.0297979797979798,TRUE
"288",0.75,0.0297979797979798,TRUE
"289",0.77,0.0297979797979798,TRUE
"290",0.79,0.0297979797979798,TRUE
"291",0.81,0.0297979797979798,TRUE
"292",0.83,0.0297979797979798,TRUE
"293",0.85,0.0297979797979798,TRUE
"294",0.87,0.0297979797979798,TRUE
"295",0.89,0.0297979797979798,TRUE
"296",0.91,0.0297979797979798,TRUE
"297",0.93,0.0297979797979798,TRUE
"298",0.95,0.0297979797979798,FALSE
"299",0.97,0.0297979797979798,FALSE
